number,film,release_date,run_time,film_rating,plot
2,A Bug's Life,11/25/1998,95,G,"A misfit ant, looking for ""warriors"" to save his colony from greedy grasshoppers, recruits a group of bugs that turn out to be an inept circus troupe."
13,Brave,6/22/2012,93,PG,"Determined to make her own path in life, Princess Merida defies a custom that brings chaos to her kingdom. Granted one wish, Merida must rely on her bravery and her archery skills to undo a beastly curse."
7,Cars,6/9/2006,116,G,"On the way to the biggest race of his life, a hotshot rookie race car gets stranded in a rundown town and learns that winning isn't everything in life."
12,Cars 2,6/24/2011,106,G,Star race car Lightning McQueen and his pal Mater head overseas to compete in the World Grand Prix race. But the road to the championship becomes rocky as Mater gets caught up in an intriguing adventure of his own: international e...
18,Cars 3,6/16/2017,102,G,Lightning McQueen sets out to prove to a new generation of racers that he's still the best race car in the world.
19,Coco,11/22/2017,105,PG,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer."
27,Elemental,6/16/2023,101,PG,"Follows Ember and Wade, in a city where fire-, water-, earth- and air-residents live together."
17,Finding Dory,6/17/2016,97,PG,Friendly but forgetful blue tang Dory begins a search for her long-lost parents and everyone learns a few things about the real meaning of family along the way.
5,Finding Nemo,5/30/2003,100,G,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home."
20,Incredibles 2,6/15/2018,118,PG,The Incredibles family takes on a new mission which involves a change in family roles: Bob Parr (Mr. Incredible) must manage the house while his wife Helen (Elastigirl) goes out to save the world.
15,Inside Out,6/19/2015,95,PG,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school."
28,Inside Out 2,6/14/2024,96,PG,"A sequel that features Riley entering puberty and experiencing brand new, more complex emotions as a result. As Riley tries to adapt to her teenage years, her old emotions try to adapt to the possibility of being replaced."
26,Lightyear,6/17/2022,105,PG,"While spending years attempting to return home, marooned Space Ranger Buzz Lightyear encounters an army of ruthless robots commanded by Zurg who are attempting to steal his fuel source."
24,Luca,6/18/2021,95,PG,"On the Italian Riviera, an unlikely but strong friendship grows between a human being and a sea monster disguised as a human."
14,Monsters University,6/21/2013,104,G,"A look at the relationship between Mike Wazowski and James P. ""Sully"" Sullivan during their days at Monsters University, when they weren't necessarily the best of friends."
4,"Monsters, Inc.",11/2/2001,92,G,"In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think."
22,Onward,3/6/2020,102,PG,"Teenage elf brothers Ian and Barley embark on a magical quest to spend one more day with their late father. Like any good adventure, their journey is filled with cryptic maps, impossible obstacles and unimaginable discoveries."
8,Ratatouille,6/29/2007,111,G,A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.
23,Soul,12/25/2020,100,PG,"Joe is a middle-school band teacher whose life hasn't quite gone the way he expected. His true passion is jazz. But when he travels to another realm to help someone find their passion, he soon discovers what it means to have soul."
16,The Good Dinosaur,11/25/2015,93,PG,"In a world where dinosaurs and humans live side-by-side, an Apatosaurus named Arlo makes an unlikely human friend."
6,The Incredibles,11/5/2004,115,PG,"While trying to lead a quiet suburban life, a family of undercover superheroes are forced into action to save the world."
1,Toy Story,11/22/1995,81,G,A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.
3,Toy Story 2,11/24/1999,92,G,"When Woody is stolen by a toy collector, Buzz and his friends set out on a rescue mission to save Woody before he becomes a museum toy property with his roundup gang Jessie, Prospector, and Bullseye."
11,Toy Story 3,6/18/2010,103,G,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home."
21,Toy Story 4,6/21/2019,100,G,"When a new toy called ""Forky"" joins Woody and the gang, a road trip alongside old and new friends reveals how big the world can be for a toy."
25,Turning Red,3/11/2022,100,PG,"A thirteen-year-old girl named Mei Lee is torn between staying her mother's dutiful daughter and the changes of adolescence. And as if the challenges were not enough, whenever she gets overly excited she transforms into a giant re..."
10,Up,5/29/2009,96,PG,"78-year-old Carl Fredricksen travels to South America in his house equipped with balloons, inadvertently taking a young stowaway."
9,WALL-E,6/27/2008,98,G,"A robot who is responsible for cleaning a waste-covered Earth meets another robot and falls in love with her. Together, they set out on a journey that will alter the fate of mankind."
